Timestamp,EventID,Level,Computer,TargetUser,SourceIP,LogonType,Status,Description
2026-09-23 10:14:02,4625,Information,WIN-CLIENT-01,jsmith,10.0.0.25,3,0xC000006D,Failed logon - invalid credentials
2026-09-23 10:14:05,4625,Information,WIN-CLIENT-01,jsmith,10.0.0.25,3,0xC000006D,Failed logon - invalid credentials
2026-09-23 10:14:08,4625,Information,WIN-CLIENT-01,jsmith,10.0.0.25,3,0xC000006D,Failed logon - invalid credentials
2026-09-23 10:14:11,4625,Information,WIN-CLIENT-01,jsmith,10.0.0.25,3,0xC000006D,Failed logon - invalid credentials
2026-09-23 10:14:14,4625,Information,WIN-CLIENT-01,jsmith,10.0.0.25,3,0xC000006D,Failed logon - invalid credentials
2026-09-23 10:14:20,4624,Information,WIN-CLIENT-01,jsmith,10.0.0.25,3,0x00000000,Successful logon
2026-09-23 10:15:03,4634,Information,WIN-CLIENT-01,jsmith,10.0.0.25,3,0x00000000,Logoff
2026-09-23 10:16:42,4625,Information,WIN-CLIENT-01,administrator,10.0.0.25,3,0xC000006D,Failed logon - invalid credentials
2026-09-23 10:16:45,4625,Information,WIN-CLIENT-01,administrator,10.0.0.25,3,0xC000006D,Failed logon - invalid credentials
2026-09-23 10:16:48,4625,Information,WIN-CLIENT-01,administrator,10.0.0.25,3,0xC000006D,Failed logon - invalid credentials
2026-09-23 10:17:02,4624,Information,WIN-CLIENT-01,administrator,10.0.0.25,3,0x00000000,Successful logon
2026-09-23 10:18:10,4634,Information,WIN-CLIENT-01,administrator,10.0.0.25,3,0x00000000,Logoff
2026-09-23 10:25:33,4624,Information,WIN-CLIENT-01,backupsvc,10.0.0.30,2,0x00000000,Successful interactive logon
2026-09-23 10:40:12,4634,Information,WIN-CLIENT-01,backupsvc,10.0.0.30,2,0x00000000,Logoff
